,0
0,83.875
1,82.28099999999999
2,78.68400000000001
3,78.61500000000001
4,74.311
5,69.06700000000001
6,68.668
7,67.678
8,65.482
9,64.563
10,61.853
11,60.869
12,60.521
13,60.349
14,59.220000000000006
15,58.507000000000005
16,58.400999999999996
17,58.357
18,58.063
19,57.584999999999994
20,57.228
21,56.923
22,54.486000000000004
23,54.318999999999996
24,53.406000000000006
25,52.681999999999995
26,52.62
27,52.491
28,52.106
29,51.948
30,51.73000000000001
31,51.442
32,51.342
33,51.25000000000001
34,51.211000000000006
35,50.97
36,50.882999999999996
37,50.737
38,50.525
39,50.433
40,50.313
41,49.894999999999996
42,49.857
43,49.394
44,49.272999999999996
45,48.739000000000004
46,48.544
47,48.47
48,48.071999999999996
49,47.966
50,47.837
51,47.803
52,47.37599999999999
53,47.34
54,46.964000000000006
55,46.824
56,46.319
57,46.281
58,46.26500000000001
59,46.097
60,46.067
61,45.987
62,45.81
63,45.587999999999994
64,45.574000000000005
65,45.424
66,45.43300000000001
67,45.414
68,45.199
69,45.11600000000001
70,44.886
71,44.882
72,44.874
73,44.70499999999999
74,44.669
75,44.45700000000001
76,44.434999999999995
77,44.347
78,44.18399999999999
79,44.058
80,43.693
81,43.64500000000001
82,43.64
83,43.535000000000004
84,43.486
85,43.415000000000006
86,43.229
87,42.885999999999996
88,42.367999999999995
89,42.207
90,42.106
91,41.730000000000004
92,41.592000000000006
93,41.43
94,41.205999999999996
95,41.21000000000001
96,40.989
97,40.93
98,40.88099999999999
99,40.891
100,40.880279541015625
101,40.82316207885742
102,40.79435729980469
103,40.776588439941406
104,40.765342712402344
105,40.7581901550293
106,40.75223159790039
107,40.747154235839844
108,40.743873596191406
109,40.7428092956543
110,40.74174499511719
111,40.74068069458008
112,40.73961639404297
113,40.73855209350586
114,40.73748779296875
115,40.73642349243164
116,40.73535919189453
117,40.73429489135742
118,40.73323059082031
119,40.7321662902832
120,40.731101989746094
121,40.730037689208984
122,40.728973388671875
123,40.727909088134766
124,40.726844787597656
125,40.72578048706055
126,40.72471618652344
127,40.72365188598633
128,40.72258758544922
129,40.72152328491211
130,40.720458984375
131,40.71939468383789
132,40.71833038330078
133,40.71726608276367
134,40.71620178222656
135,40.71513748168945
136,40.714073181152344
137,40.713008880615234
138,40.711944580078125
139,40.710880279541016
140,40.709815979003906
141,40.7087516784668
142,40.70768737792969
143,40.70662307739258
144,40.70555877685547
145,40.70449447631836
146,40.70343017578125
147,40.70236587524414
148,40.70130157470703
149,40.70023727416992
