,0
0,82.28099999999999
1,68.668
2,64.563
3,61.853
4,60.869
5,60.521
6,60.349
7,59.220000000000006
8,58.507000000000005
9,58.400999999999996
10,58.357
11,58.063
12,57.584999999999994
13,57.228
14,52.62
15,52.106
16,51.948
17,51.73000000000001
18,51.442
19,51.342
20,51.25000000000001
21,51.211000000000006
22,50.525
23,50.313
24,49.894999999999996
25,49.857
26,49.272999999999996
27,48.544
28,48.47
29,48.071999999999996
30,47.966
31,47.803
32,47.34
33,46.964000000000006
34,46.824
35,46.319
36,46.26500000000001
37,46.097
38,45.987
39,45.81
40,45.587999999999994
41,45.574000000000005
42,45.43300000000001
43,45.414
44,45.199
45,45.11600000000001
46,44.886
47,44.882
48,44.874
49,44.70499999999999
50,44.669
51,44.434999999999995
52,44.18399999999999
53,44.058
54,43.693
55,43.64500000000001
56,43.64
57,43.535000000000004
58,43.486
59,43.415000000000006
60,43.229
61,42.885999999999996
62,42.367999999999995
63,42.207
64,41.43
65,41.205999999999996
66,41.21000000000001
67,40.989
68,40.93
69,40.891
70,40.88099999999999
71,40.876999999999995
72,40.612
73,40.441
74,40.41100000000001
75,40.278
76,40.244
77,40.245999999999995
78,40.184
79,40.067
80,40.032
81,39.96900000000001
82,39.593999999999994
83,39.413999999999994
84,39.339999999999996
85,39.293
86,39.26199999999999
87,39.171
88,38.973
89,38.943000000000005
90,38.854
91,38.797000000000004
92,38.756
93,38.762
94,38.678000000000004
95,38.672999999999995
96,38.662000000000006
97,38.613
98,38.486
99,38.454
100,38.428306579589844
101,38.30955123901367
102,38.204830169677734
103,38.132484436035156
104,38.09794998168945
105,38.0871696472168
106,38.08342361450195
107,38.0803108215332
108,38.079105377197266
109,38.07866668701172
110,38.078460693359375
111,38.07834243774414
112,38.07829284667969
113,38.078277587890625
114,38.07826614379883
115,38.07826232910156
116,38.0782585144043
117,38.07825469970703
118,38.078250885009766
119,38.0782470703125
120,38.078243255615234
121,38.07823944091797
122,38.0782356262207
123,38.07823181152344
124,38.07822799682617
125,38.078224182128906
126,38.07822036743164
127,38.078216552734375
128,38.07821273803711
129,38.078208923339844
130,38.07820510864258
131,38.07820129394531
132,38.07819747924805
133,38.07819366455078
134,38.078189849853516
135,38.07818603515625
136,38.078182220458984
137,38.07817840576172
138,38.07817459106445
139,38.07817077636719
140,38.07816696166992
141,38.078163146972656
142,38.07815933227539
143,38.078155517578125
144,38.07815170288086
145,38.078147888183594
146,38.07814407348633
147,38.07814025878906
148,38.0781364440918
149,38.07813262939453
