a,b,c,d,e


84.54,91.08,75.48,43.70,100.00


82.49,81.42,85.36,64.81,86.61


81.34,85.59,81.53,48.53,79.61


73.38,78.67,74.91,60.96,72.79


67.96,74.57,83.99,56.16,62.12


74.71,42.60,99.12,79.32,46.28


71.71,68.63,62.76,39.81,67.59


65.88,61.59,85.29,58.65,37.56


65.15,50.76,95.42,53.13,43.62


57.31,60.76,79.15,52.55,63.22


74.36,45.34,84.45,55.71,21.66


79.25,52.13,63.20,52.97,28.01


57.08,57.07,91.39,36.00,35.50


52.52,58.16,85.14,51.26,33.15


74.05,43.56,71.03,58.27,31.44


70.70,43.64,84.55,55.29,15.04


70.28,36.87,90.56,49.03,26.30


76.05,44.15,61.29,64.23,26.30


72.33,33.21,82.27,68.86,11.76


65.54,41.70,76.95,52.63,22.63


45.47,50.26,86.81,46.72,26.30


71.72,35.33,65.12,57.08,22.15


83.08,29.71,62.70,59.66,3.93


50.30,47.42,68.43,60.02,36.71


70.87,35.60,65.91,62.92,11.13


61.02,35.56,69.33,57.73,35.32


54.46,44.24,74.36,61.08,14.46


57.85,48.53,67.00,42.50,22.87


66.06,33.40,68.60,53.07,26.52


53.82,48.52,69.18,52.55,15.90


57.09,34.41,69.99,60.81,38.55


66.57,33.04,61.40,62.86,25.85


52.59,44.75,73.16,47.52,23.58


82.44,14.54,61.99,66.05,27.80


70.22,29.22,63.76,79.16,2.40


65.98,25.12,83.14,54.75,9.53


67.67,32.29,74.48,52.20,2.01


74.34,23.40,66.21,63.07,7.17


73.72,27.29,56.79,60.47,15.90


78.60,12.99,75.58,54.06,12.07


84.14,14.18,70.13,44.74,9.85


55.85,41.93,69.73,43.40,9.85


65.74,22.27,70.40,53.19,24.50


60.01,35.50,64.06,43.37,22.63


55.09,25.90,93.35,44.69,5.76


66.61,30.54,65.26,47.30,10.82


65.16,19.80,83.76,47.60,7.17


63.49,27.44,72.24,53.87,5.03


68.98,9.77,78.30,71.56,10.18


58.24,34.97,65.36,57.27,3.55


70.95,28.14,52.36,59.78,8.87


64.21,22.89,72.84,51.76,6.82


72.14,15.04,75.45,48.16,5.03


53.44,34.57,64.43,58.95,11.45


63.32,21.34,63.29,65.05,16.73


61.55,26.60,62.83,63.71,7.86


52.66,29.51,68.64,51.71,25.85


69.80,20.45,59.51,47.58,22.39


69.00,17.24,61.89,68.65,6.47


80.46,19.35,54.02,42.72,5.40


64.91,19.80,74.90,44.44,6.11


76.90,19.50,51.41,55.10,5.76


56.87,28.54,64.68,57.57,8.53


62.60,16.92,61.14,49.77,38.71


57.32,22.53,69.57,65.94,3.55


57.73,29.45,61.31,52.43,10.50


69.88,12.46,60.90,71.23,6.11


52.38,29.43,65.31,63.14,4.30


67.81,25.42,52.87,49.93,7.17


65.40,18.67,60.34,63.92,3.17


62.39,20.08,77.61,36.99,0.00


69.21,12.55,60.17,71.18,0.00


62.51,20.31,62.21,52.43,10.82


60.43,25.94,61.66,50.03,2.01


82.71,2.12,58.65,50.06,10.50


78.30,8.04,65.06,41.03,2.01


65.22,18.90,69.46,39.44,1.22


56.18,22.73,67.06,54.72,6.11


76.37,8.25,56.74,62.90,1.22


48.75,30.10,62.95,62.11,5.40


61.57,28.03,49.87,45.12,16.18


65.29,12.61,63.90,65.69,0.81


65.81,15.23,62.65,59.43,0.00


74.67,11.37,50.08,66.52,2.79


73.71,2.64,70.63,54.04,1.22


46.64,26.49,69.92,49.60,14.76


44.09,31.78,70.30,48.22,7.17


64.85,13.43,70.21,43.10,5.03


77.09,3.00,64.64,53.34,0.41


64.14,5.05,69.03,61.36,12.38


47.08,14.16,82.05,66.66,4.30


74.76,7.95,58.90,47.51,3.93


58.92,16.06,61.04,55.26,14.76


57.01,29.21,48.45,34.45,26.30


57.09,19.19,61.91,46.95,14.46


55.86,17.22,62.43,51.12,12.07


72.43,5.83,50.15,69.66,2.40


59.83,13.77,66.09,51.58,2.01


47.72,24.36,62.94,44.19,18.88


47.77,24.12,62.86,48.83,15.04
