a,b,c,d,e


84.54,91.08,75.48,43.70,100.00


74.71,42.60,99.12,79.32,46.28


65.15,50.76,95.42,53.13,43.62


57.31,60.76,79.15,52.55,63.22


74.36,45.34,84.45,55.71,21.66


57.08,57.07,91.39,36.00,35.50


52.52,58.16,85.14,51.26,33.15


74.05,43.56,71.03,58.27,31.44


70.70,43.64,84.55,55.29,15.04


70.28,36.87,90.56,49.03,26.30


76.05,44.15,61.29,64.23,26.30


72.33,33.21,82.27,68.86,11.76


65.54,41.70,76.95,52.63,22.63


45.47,50.26,86.81,46.72,26.30


83.08,29.71,62.70,59.66,3.93


50.30,47.42,68.43,60.02,36.71


61.02,35.56,69.33,57.73,35.32


66.06,33.40,68.60,53.07,26.52


53.82,48.52,69.18,52.55,15.90


52.59,44.75,73.16,47.52,23.58


70.22,29.22,63.76,79.16,2.40


65.98,25.12,83.14,54.75,9.53


67.67,32.29,74.48,52.20,2.01


74.34,23.40,66.21,63.07,7.17


78.60,12.99,75.58,54.06,12.07


84.14,14.18,70.13,44.74,9.85


65.74,22.27,70.40,53.19,24.50


55.09,25.90,93.35,44.69,5.76


66.61,30.54,65.26,47.30,10.82


65.16,19.80,83.76,47.60,7.17


63.49,27.44,72.24,53.87,5.03


68.98,9.77,78.30,71.56,10.18


58.24,34.97,65.36,57.27,3.55


72.14,15.04,75.45,48.16,5.03


64.21,22.89,72.84,51.76,6.82


53.44,34.57,64.43,58.95,11.45


69.00,17.24,61.89,68.65,6.47


80.46,19.35,54.02,42.72,5.40


64.91,19.80,74.90,44.44,6.11


76.90,19.50,51.41,55.10,5.76


56.87,28.54,64.68,57.57,8.53


57.32,22.53,69.57,65.94,3.55


57.73,29.45,61.31,52.43,10.50


69.88,12.46,60.90,71.23,6.11


52.38,29.43,65.31,63.14,4.30


65.40,18.67,60.34,63.92,3.17


62.39,20.08,77.61,36.99,0.00


69.21,12.55,60.17,71.18,0.00


60.43,25.94,61.66,50.03,2.01


78.30,8.04,65.06,41.03,2.01


65.22,18.90,69.46,39.44,1.22


76.37,8.25,56.74,62.90,1.22


48.75,30.10,62.95,62.11,5.40


61.57,28.03,49.87,45.12,16.18


65.29,12.61,63.90,65.69,0.81


65.81,15.23,62.65,59.43,0.00


74.67,11.37,50.08,66.52,2.79


73.71,2.64,70.63,54.04,1.22


46.64,26.49,69.92,49.60,14.76


44.09,31.78,70.30,48.22,7.17


64.85,13.43,70.21,43.10,5.03


77.09,3.00,64.64,53.34,0.41


64.14,5.05,69.03,61.36,12.38


47.08,14.16,82.05,66.66,4.30


74.76,7.95,58.90,47.51,3.93


58.92,16.06,61.04,55.26,14.76


57.01,29.21,48.45,34.45,26.30


59.83,13.77,66.09,51.58,2.01


47.72,24.36,62.94,44.19,18.88


47.77,24.12,62.86,48.83,15.04


70.90,5.81,64.86,41.18,2.01


70.72,7.06,49.79,69.45,0.00


56.36,12.73,68.89,49.73,5.76


53.28,18.11,65.25,53.47,2.40


72.48,8.14,64.40,28.42,0.81


48.82,19.25,72.88,47.64,1.22


67.62,7.80,46.46,69.28,8.53


60.06,12.27,69.76,39.51,0.81


52.93,17.73,59.90,52.67,10.50


52.32,14.93,76.33,36.14,3.93


62.55,8.03,66.17,48.71,0.81


73.68,1.96,60.82,44.55,0.00


69.56,11.40,57.84,28.11,5.40


62.45,9.60,61.99,48.38,2.79


50.07,16.70,64.90,58.05,2.01


40.42,21.59,79.78,39.81,3.17


58.62,14.42,62.29,41.69,2.40


70.09,3.89,54.46,55.32,0.81


48.66,16.63,62.03,55.95,10.18


52.03,20.17,59.32,46.27,4.30


65.34,5.77,63.49,44.41,0.81


72.52,4.92,41.28,69.87,0.41


58.90,4.18,61.69,71.09,1.62


53.65,11.77,61.45,54.83,7.51


68.12,1.16,64.87,43.41,0.41


51.36,21.23,64.62,27.42,2.40


67.68,4.30,51.69,56.82,0.00


44.31,21.73,56.78,54.58,8.87


54.21,9.28,60.17,61.18,3.17


43.19,17.57,60.50,53.04,18.35
