TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100)
44.98,10.08,52.18,52.30,2.81


53.36,1.01,56.19,46.26,2.81


52.34,0.46,54.81,53.61,2.02


55.99,4.59,43.66,51.55,2.41


53.60,11.85,32.32,52.46,9.26


49.97,4.92,51.58,51.91,2.81


53.46,3.77,51.11,47.47,1.22


53.89,2.85,51.95,47.85,0.00

50.09,4.24,55.50,42.62,5.44


56.37,3.77,47.71,44.13,1.22


49.25,3.99,57.70,43.39,2.41


56.63,0.91,47.99,51.04,1.22


50.02,3.22,53.98,51.25,1.63


48.31,2.52,54.21,54.49,5.44


52.49,4.07,50.03,47.89,2.81


54.10,1.58,46.37,59.95,0.41


58.74,0.83,48.07,43.41,1.63


39.18,6.28,62.08,53.74,5.07


48.42,1.55,59.90,46.54,2.81


58.87,3.76,39.89,50.45,0.82


38.35,16.86,56.34,39.93,0.41


53.82,6.14,43.59,48.16,3.19


55.35,0.69,49.81,48.01,1.22


55.09,0.81,48.80,50.56,0.00

53.15,0.88,52.64,48.14,0.41



